endTime,artistName,trackName,msPlayed,track_id
2020-06-27 01:01,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 01:04,Phoebe Bridgers,Moon Song,203191,6sALLrBPX30ptG1HWH6vmW
2020-06-27 01:08,Phoebe Bridgers,Savior Complex,241640,4BNew3AqFCvABdFsYMRiyB
2020-06-27 01:11,Phoebe Bridgers,ICU,190093,38KCyQcBswyAd7xSQnDIU4
2020-06-27 01:15,Phoebe Bridgers,Graceland Too,236350,44spdItKKM7rOtKswbBG0U
2020-06-27 01:21,Phoebe Bridgers,I Know The End,344692,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 01:25,Phoebe Bridgers,Motion Sickness,93785,6LxcPUqx6noURdA5qc4BAT
2020-06-27 07:27,Phoebe Bridgers,I Know The End,571234,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 07:29,Phoebe Bridgers,Punisher,149281,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 07:32,Phoebe Bridgers,Halloween,116749,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-27 07:36,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 07:37,Phoebe Bridgers,Moon Song,77591,6sALLrBPX30ptG1HWH6vmW
2020-06-27 07:41,Phoebe Bridgers,ICU,190093,38KCyQcBswyAd7xSQnDIU4
2020-06-27 07:42,Phoebe Bridgers,Graceland Too,76193,44spdItKKM7rOtKswbBG0U
2020-06-27 07:48,Phoebe Bridgers,I Know The End,344692,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 08:39,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 08:39,Phoebe Bridgers,Moon Song,4160,6sALLrBPX30ptG1HWH6vmW
2020-06-27 08:42,Phoebe Bridgers,Chinese Satellite,174677,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 08:43,Phoebe Bridgers,Punisher,114149,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 08:45,Phoebe Bridgers,Halloween,93562,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-27 08:47,Phoebe Bridgers,Chinese Satellite,141647,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 08:48,Phoebe Bridgers,Moon Song,42426,6sALLrBPX30ptG1HWH6vmW
2020-06-27 08:54,Phoebe Bridgers,I Know The End,219168,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 08:58,Phoebe Bridgers,Punisher,0,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 08:58,Phoebe Bridgers,I Know The End,263870,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 09:01,Phoebe Bridgers,Chinese Satellite,186653,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 09:01,Phoebe Bridgers,Moon Song,8194,6sALLrBPX30ptG1HWH6vmW
2020-06-27 09:02,Phoebe Bridgers,ICU,4042,38KCyQcBswyAd7xSQnDIU4
2020-06-27 09:02,Better Oblivion Community Center,Dylan Thomas,35765,6x14wL9HvABR2Rix8N88EH
2020-06-27 09:06,Phoebe Bridgers,Graceland Too,225745,44spdItKKM7rOtKswbBG0U
2020-06-27 09:11,Phoebe Bridgers,I Know The End,344692,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 09:54,Better Oblivion Community Center,Didn't Know What I Was in For,69,0PYdiBzO9IvWc6Y3wO1j7m
2020-06-27 09:57,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 09:58,Phoebe Bridgers,Moon Song,14236,6sALLrBPX30ptG1HWH6vmW
2020-06-27 10:02,Phoebe Bridgers,Savior Complex,241640,4BNew3AqFCvABdFsYMRiyB
2020-06-27 10:03,Phoebe Bridgers,DVD Menu,69931,6Tz8qANEIf4aCGEEjcxgKg
2020-06-27 10:03,Phoebe Bridgers,DVD Menu,10585,6Tz8qANEIf4aCGEEjcxgKg
2020-06-27 10:07,Phoebe Bridgers,Halloween,220470,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-27 10:10,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
